id,name,url,institution
1011,Çok değişkenli Fonksiyon I: Kavramlar / Multivariable Calculus I: Concepts,https://www.classcentral.com/course/hesap-calculus-dersi-1412,Koç University
1012,Improving your statistical inferences,https://www.classcentral.com/course/statistical-inferences-7353,Eindhoven University of Technology
1013,Single Variable Calculus,https://www.classcentral.com/course/discrete-calculus-5067,University of Pennsylvania
1014,Causal Inference,https://www.classcentral.com/course/causal-inference-12136,Columbia University
1015,Causal Inference 2,https://www.classcentral.com/course/causal-inference-2-13095,Columbia University
1016,离散数学概论 Discrete Mathematics Generality,https://www.classcentral.com/course/dmathgen-4431,Peking University
1017,Jacobi modular forms: 30 ans après,https://www.classcentral.com/course/modular-forms-jacobi-6626,Higher School of Economics
1018,Introduction to Galois Theory,https://www.classcentral.com/course/galois-5382,Higher School of Economics
1019,Линейная алгебра (Linear Algebra),https://www.classcentral.com/course/linalg-2859,Higher School of Economics
1020,頑想學概率：機率二 (Probability (2)),https://www.classcentral.com/course/prob2-8307,National Taiwan University
1021,頑想學概率：機率一 (Probability (1)),https://www.classcentral.com/course/prob1-7800,National Taiwan University
1022,Funciones algebraicas y trascendentes ,https://www.classcentral.com/course/funciones-algebraicas-19727,Universidad Nacional Autónoma de México
1023,Álgebra básica,https://www.classcentral.com/course/algebra-basica-4653,Universidad Nacional Autónoma de México
1024,4.- El Cálculo – Otros Modelos,https://www.classcentral.com/course/calculo-4-4167,Tecnológico de Monterrey
1025,Cálculo Diferencial e Integral unidos por el Teorema Fundamental del Cálculo,https://www.classcentral.com/course/calculo-diferencial-4884,Tecnológico de Monterrey
1026,5.- Cálculo Diferencial e Integral unidos por el Teorema Fundamental del Cálculo,https://www.classcentral.com/course/calculodiferencial-4760,Tecnológico de Monterrey
1027,1.- El Cálculo – Modelo Lineal,https://www.classcentral.com/course/calculo-1-4231,Tecnológico de Monterrey
1028,2.- El Cálculo – Modelo Cuadrático,https://www.classcentral.com/course/calculo-2-4226,Tecnológico de Monterrey
1029,3.- El Cálculo – Modelo Cúbico,https://www.classcentral.com/course/calculo-3-4284,Tecnológico de Monterrey
1030,Aléatoire : une introduction aux probabilités – Partie 2,https://www.classcentral.com/course/probas2-5716,École Polytechnique
1031,Применение производной и интеграла в курсе общей физики,https://www.classcentral.com/course/proizvodnaya-i-integral-v-fizike-7806,National Research Nuclear University MEPhI
1032,Теория вероятностей – наука о случайности,https://www.classcentral.com/course/theory-of-chances-19478,Tomsk State University
1033,Математика в тестировании дискретных систем,https://www.classcentral.com/course/math-in-testing-of-discrete-systems-21240,Tomsk State University
1034,Статистические методы в гуманитарных исследованиях,https://www.classcentral.com/course/statistics-for-humanities-10182,Tomsk State University
1035,离散数学,https://www.classcentral.com/course/discrete-mathematics-ch-8275,Shanghai Jiao Tong University
1036,Structural Equation Model and its Applications | 结构方程模型及其应用 (粤语),https://www.classcentral.com/course/structural-equation-model-cantonese-5947,The Chinese University of Hong Kong
1037,Structural Equation Model and its Applications | 结构方程模型及其应用 (普通话),https://www.classcentral.com/course/jiegou-fangcheng-moxing-696,The Chinese University of Hong Kong
1038,Invitation to Mathematics הזמנה למתמטיקה,https://www.classcentral.com/course/introduction-to-math-1938,Hebrew University of Jerusalem
1039,Introduction à la théorie de Galois,https://www.classcentral.com/course/introgalois-1298,École normale supérieure
1040,Doğrusal Cebir I: Uzaylar ve İşlemciler / Linear Algebra I: Spaces and Operators,https://www.classcentral.com/course/linearalgebra1-5045,Koç University
1041,"Doğrusal Cebir II: Kare Matrisler, Hesaplama Yöntemleri ve Uygulamalar / Linear Algebra II: Square Matrices, Calculation Methods and Applications",https://www.classcentral.com/course/linearalgebra2-5046,Koç University
1042,Çok değişkenli Fonksiyon II: Uygulamalar / Multivariable Calculus II: Applications,https://www.classcentral.com/course/calculus-diferansiyel-hesap-4165,Koç University
1043,Линейная алгебра и аналитическая геометрия,https://www.classcentral.com/course/lineynaya-algebra-10791,St. Petersburg State Polytechnic University
1044,Python and Statistics for Financial Analysis,https://www.classcentral.com/course/python-statistics-financial-analysis-12648,The Hong Kong University of Science and Technology
1045,Learn to Program: The Fundamentals,https://www.classcentral.com/course/programming1-385,University of Toronto
